Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
,,,,,,,,,,,,,,,,,,
2021-08-15,20:00 (23:30),La Liga,Matchweek 1,Sun,Home,W,4,2,Real Sociedad,3.1,1.1,62,20384,Sergio Busquets,4-3-3,Alejandro Hernández,Match Report,
2021-08-21,22:00 (01:30),La Liga,Matchweek 2,Sat,Away,D,1,1,Athletic Club,1.4,1.5,67,9394,Sergio Busquets,4-3-3,Juan Martínez,Match Report,
2021-08-29,17:00 (20:30),La Liga,Matchweek 3,Sun,Home,W,2,1,Getafe,1.2,0.4,66,26543,Sergio Busquets,4-3-3,Pablo González,Match Report,
2021-09-14,21:00 (00:30),Champions Lg,Group stage,Tue,Home,L,0,3,de Bayern Munich,0.2,2.7,49,39737,Sergio Busquets,3-1-4-2,Michael Oliver,Match Report,
2021-09-20,21:00 (00:30),La Liga,Matchweek 5,Mon,Home,D,1,1,Granada,1.8,0.7,76,27097,Sergio Busquets,4-3-3,Santiago Jaime,Match Report,
2021-09-23,22:00 (01:30),La Liga,Matchweek 6,Thu,Away,D,0,0,Cádiz,0.6,1.4,67,12180,Sergio Busquets,4-3-3,Carlos del Cerro,Match Report,
2021-09-26,16:15 (19:45),La Liga,Matchweek 7,Sun,Home,W,3,0,Levante,3.1,0.7,70,35334,Sergio Busquets,4-2-3-1,Isidro Díaz de Mera,Match Report,
2021-09-29,20:00 (00:30),Champions Lg,Group stage,Wed,Away,L,0,3,pt Benfica,1.2,1.9,59,29454,Sergio Busquets,3-4-1-2,Daniele Orsato,Match Report,
2021-10-02,21:00 (00:30),La Liga,Matchweek 8,Sat,Away,L,0,2,Atlético Madrid,0.9,1.3,70,60594,Sergio Busquets,4-2-3-1,César Soto,Match Report,
2021-10-17,21:00 (00:30),La Liga,Matchweek 9,Sun,Home,W,3,1,Valencia,2.1,0.5,60,47317,Sergio Busquets,4-3-3,Jesús Gil,Match Report,
2021-10-20,18:45 (22:15),Champions Lg,Group stage,Wed,Home,W,1,0,ua Dynamo Kyiv,2.2,0.1,62,45968,Sergio Busquets,4-3-3,Clément Turpin,Match Report,
2021-10-24,16:15 (19:45),La Liga,Matchweek 10,Sun,Home,L,1,2,Real Madrid,1.8,1.7,51,86422,Sergio Busquets,4-3-3,José Sánchez,Match Report,
2021-10-27,19:00 (22:30),La Liga,Matchweek 11,Wed,Away,L,0,1,Rayo Vallecano,2.8,1.4,68,9340,Sergio Busquets,4-3-3,Antonio Matéu Lahoz,Match Report,
2021-10-30,21:00 (00:30),La Liga,Matchweek 12,Sat,Home,D,1,1,Alavés,1.4,0.8,79,37278,Sergio Busquets,4-3-3,Jorge Figueroa,Match Report,
2021-11-02,22:00 (01:30),Champions Lg,Group stage,Tue,Away,W,1,0,ua Dynamo Kyiv,0.8,1,64,31378,Sergio Busquets,4-3-3,Ovidiu Hațegan,Match Report,
2021-11-06,16:15 (20:45),La Liga,Matchweek 13,Sat,Away,D,3,3,Celta Vigo,1.1,1.5,48,13146,Sergio Busquets,4-3-3,Alejandro Hernández,Match Report,
2021-11-20,21:00 (01:30),La Liga,Matchweek 14,Sat,Home,W,1,0,Espanyol,1.7,1.3,65,74418,Sergio Busquets,4-3-3,Carlos del Cerro,Match Report,
2021-11-23,21:00 (01:30),Champions Lg,Group stage,Tue,Home,D,0,0,pt Benfica,1.4,1.2,65,49572,Sergio Busquets,3-4-3,Sergey Karasev,Match Report,
2021-11-27,21:00 (01:30),La Liga,Matchweek 15,Sat,Away,W,3,1,Villarreal,3.4,1.3,50,19050,Sergio Busquets,4-3-3,César Soto,Match Report,
2021-12-04,16:15 (20:45),La Liga,Matchweek 16,Sat,Home,L,0,1,Betis,1.1,0.8,63,66529,Sergio Busquets,4-3-3,Pablo González,Match Report,
2021-12-08,21:00 (01:30),Champions Lg,Group stage,Wed,Away,L,0,3,de Bayern Munich,0.4,2.4,48,,Sergio Busquets,4-3-3,Ovidiu Hațegan,Match Report,
2021-12-12,16:15 (20:45),La Liga,Matchweek 17,Sun,Away,D,2,2,Osasuna,0.9,0.3,61,21427,Sergio Busquets,3-3-3-1,Juan Martínez,Match Report,
2021-12-18,18:30 (23:00),La Liga,Matchweek 18,Sat,Home,W,3,2,Elche,3,1.2,72,41664,Sergio Busquets,3-4-3◆,Alberola Rojas,Match Report,
2021-12-21,21:30 (02:00),La Liga,Matchweek 4,Tue,Away,D,1,1,Sevilla,2,0.4,58,31358,Sergio Busquets,4-3-3,Carlos del Cerro,Match Report,
2022-01-02,21:00 (01:30),La Liga,Matchweek 19,Sun,Away,W,1,0,Mallorca,1.5,0.9,64,14654,Gerard Piqué,4-3-3,Antonio Matéu Lahoz,Match Report,
2022-01-05,19:30 (00:00),Copa del Rey,Round of 32,Wed,Away,W,2,1,Linares,,,81,10000,Sergio Busquets,3-1-4-2,Guillermo Cuadra,Match Report,
2022-01-08,18:30 (23:00),La Liga,Matchweek 20,Sat,Away,D,1,1,Granada,0.8,1.7,64,14442,Sergio Busquets,4-3-3,Pablo González,Match Report,
2022-01-12,22:00 (00:30),Supercopa de España,Semi-finals,Wed,Home,L,2,3,Real Madrid,,,53,,Sergio Busquets,4-3-3,José Luis Munuera,Match Report,Required Extra Time
2022-01-20,21:30 (02:00),Copa del Rey,Round of 16,Thu,Away,L,2,3,Athletic Club,,,67,37287,Sergio Busquets,4-3-3,José Luis Munuera,Match Report,Required Extra Time
2022-01-23,21:00 (01:30),La Liga,Matchweek 22,Sun,Away,W,1,0,Alavés,1.3,0.7,75,14056,Sergio Busquets,4-3-3,Jorge Figueroa,Match Report,
2022-02-06,16:15 (20:45),La Liga,Matchweek 23,Sun,Home,W,4,2,Atlético Madrid,1,1.4,56,74221,Sergio Busquets,4-3-3,Jesús Gil,Match Report,
