For Barcelona,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
2021-08-15,20:00 (23:30),Matchweek 1,Sun,Home,W,4,2,Real Sociedad,516,590,87.5,8764,2676,216,233,92.7,216,236,91.5,50,70,71.4,3,2.8,1.9,12,36,11,3,32,Match Report
2021-08-21,22:00 (01:30),Matchweek 2,Sat,Away,D,1,1,Athletic Club,545,638,85.4,9401,3207,267,287,93,196,223,87.9,66,92,71.7,1,0.6,0.8,5,34,8,1,40,Match Report
2021-08-29,17:00 (20:30),Matchweek 3,Sun,Home,W,2,1,Getafe,613,721,85,9801,2894,295,323,91.3,227,247,91.9,53,83,63.9,2,1.2,0.9,7,25,10,1,33,Match Report
2021-09-20,21:00 (00:30),Matchweek 5,Mon,Home,D,1,1,Granada,611,711,85.9,9866,2932,299,324,92.3,258,293,88.1,37,64,57.8,1,1.5,2.3,13,62,15,8,40,Match Report
2021-09-23,22:00 (01:30),Matchweek 6,Thu,Away,D,0,0,Cádiz,581,686,84.7,9665,3549,299,333,89.8,240,278,86.3,35,60,58.3,0,0.6,1.2,6,63,10,5,45,Match Report
2021-09-26,16:15 (19:45),Matchweek 7,Sun,Home,W,3,0,Levante,650,731,88.9,10099,3359,320,343,93.3,230,253,90.9,54,78,69.2,1,1.6,1.6,12,34,8,1,37,Match Report
2021-10-02,21:00 (00:30),Matchweek 8,Sat,Away,L,0,2,Atlético Madrid,671,769,87.3,10479,3473,346,370,93.5,245,272,90.1,45,71,63.4,0,0.4,0.7,5,59,9,1,39,Match Report
2021-10-17,21:00 (00:30),Matchweek 9,Sun,Home,W,3,1,Valencia,500,576,86.8,7234,2732,259,279,92.8,165,193,85.5,27,41,65.9,2,1.2,2.1,8,32,7,0,47,Match Report
2021-10-24,16:15 (19:45),Matchweek 10,Sun,Home,L,1,2,Real Madrid,440,519,84.8,7120,2276,216,236,91.5,164,189,86.8,34,49,69.4,1,1.8,2.1,11,43,13,4,33,Match Report
2021-10-27,19:00 (22:30),Matchweek 11,Wed,Away,L,0,1,Rayo Vallecano,553,643,86,9922,3394,231,254,90.9,257,284,90.5,53,79,67.1,0,1.9,2,14,39,8,1,40,Match Report
2021-10-30,21:00 (00:30),Matchweek 12,Sat,Home,D,1,1,Alavés,773,876,88.2,11450,3154,397,424,93.6,291,328,88.7,33,49,67.3,1,1.1,1.8,13,65,15,4,52,Match Report
2021-11-06,16:15 (20:45),Matchweek 13,Sat,Away,D,3,3,Celta Vigo,436,512,85.2,7338,2712,199,212,93.9,156,178,87.6,52,77,67.5,3,1.1,0.9,10,21,7,1,24,Match Report
2021-11-20,21:00 (01:30),Matchweek 14,Sat,Home,W,1,0,Espanyol,617,714,86.4,10715,3865,286,314,91.1,265,291,91.1,58,81,71.6,0,0.7,1.1,12,83,13,2,60,Match Report
