For Barcelona,,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Receiving,,
Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
2021-08-15,20:00 (23:30),Matchweek 1,Sun,Home,W,4,2,Real Sociedad,62,693,82,205,344,149,27,693,12,17,70.6,14,17,505,28,Match Report
2021-08-21,22:00 (01:30),Matchweek 2,Sat,Away,D,1,1,Athletic Club,67,746,105,298,312,140,28,746,10,12,83.3,21,7,541,39,Match Report
2021-08-29,17:00 (20:30),Matchweek 3,Sun,Home,W,2,1,Getafe,66,802,62,195,486,124,15,802,9,16,56.3,14,11,607,31,Match Report
2021-09-20,21:00 (00:30),Matchweek 5,Mon,Home,D,1,1,Granada,76,818,54,138,382,305,52,818,12,25,48,18,2,605,40,Match Report
2021-09-23,22:00 (01:30),Matchweek 6,Thu,Away,D,0,0,Cádiz,67,799,66,192,397,216,20,799,7,18,38.9,22,9,572,44,Match Report
2021-09-26,16:15 (19:45),Matchweek 7,Sun,Home,W,3,0,Levante,70,824,49,163,425,243,32,823,22,28,78.6,18,16,644,37,Match Report
2021-10-02,21:00 (00:30),Matchweek 8,Sat,Away,L,0,2,Atlético Madrid,70,834,50,167,450,224,14,834,9,19,47.4,14,8,663,38,Match Report
2021-10-17,21:00 (00:30),Matchweek 9,Sun,Home,W,3,1,Valencia,60,669,57,194,306,177,28,668,16,24,66.7,20,7,495,46,Match Report
2021-10-24,16:15 (19:45),Matchweek 10,Sun,Home,L,1,2,Real Madrid,51,605,33,102,268,244,28,605,7,10,70,15,9,437,33,Match Report
2021-10-27,19:00 (22:30),Matchweek 11,Wed,Away,L,0,1,Rayo Vallecano,68,733,79,246,334,161,28,732,19,31,61.3,14,10,548,39,Match Report
2021-10-30,21:00 (00:30),Matchweek 12,Sat,Home,D,1,1,Alavés,79,961,32,113,518,335,33,961,18,28,64.3,17,7,762,49,Match Report
2021-11-06,16:15 (20:45),Matchweek 13,Sat,Away,D,3,3,Celta Vigo,48,633,91,246,257,135,25,633,24,35,68.6,20,13,431,24,Match Report
2021-11-20,21:00 (01:30),Matchweek 14,Sat,Home,W,1,0,Espanyol,65,797,45,156,398,245,38,796,15,21,71.4,13,10,615,60,Match Report
2021-11-27,21:00 (01:30),Matchweek 15,Sat,Away,W,3,1,Villarreal,50,537,97,266,156,122,24,536,9,13,69.2,15,5,336,14,Match Report
2021-12-04,16:15 (20:45),Matchweek 16,Sat,Home,L,0,1,Betis,63,750,79,210,349,196,25,750,17,26,65.4,18,20,562,46,Match Report
2021-12-12,16:15 (20:45),Matchweek 17,Sun,Away,D,2,2,Osasuna,61,626,89,248,262,120,20,626,15,21,71.4,22,14,397,24,Match Report
2021-12-18,18:30 (23:00),Matchweek 18,Sat,Home,W,3,2,Elche,72,831,36,136,480,224,30,831,15,21,71.4,14,11,653,40,Match Report
2021-12-21,21:30 (02:00),Matchweek 4,Tue,Away,D,1,1,Sevilla,58,636,55,191,255,196,29,636,11,19,57.9,15,6,442,27,Match Report
2022-01-02,21:00 (01:30),Matchweek 19,Sun,Away,W,1,0,Mallorca,64,715,63,209,334,172,18,715,5,11,45.5,18,8,520,27,Match Report
2022-01-08,18:30 (23:00),Matchweek 20,Sat,Away,D,1,1,Granada,64,724,81,199,348,182,16,724,11,19,57.9,14,11,515,26,Match Report
2022-01-23,21:00 (01:30),Matchweek 22,Sun,Away,W,1,0,Alavés,75,837,63,240,412,193,22,837,11,18,61.1,18,9,626,48,Match Report
2022-02-06,16:15 (20:45),Matchweek 23,Sun,Home,W,4,2,Atlético Madrid,56,673,54,143,357,174,15,673,5,11,45.5,21,10,489,32,Match Report
2022-02-13,21:00 (01:30),Matchweek 24,Sun,Away,D,2,2,Espanyol,64,680,28,148,340,200,29,680,12,25,48,15,5,483,38,Match Report
2022-02-20,16:15 (20:45),Matchweek 25,Sun,Away,W,4,1,Valencia,64,607,82,212,261,137,13,607,8,16,50,17,14,418,20,Match Report
2022-02-27,21:00 (01:30),Matchweek 26,Sun,Home,W,4,0,Athletic Club,71,937,65,252,497,199,40,937,15,21,71.4,22,9,737,40,Match Report
2022-03-06,16:15 (20:45),Matchweek 27,Sun,Away,W,2,1,Elche,67,717,51,143,391,192,30,716,14,24,58.3,16,6,503,47,Match Report
2022-03-13,21:00 (01:30),Matchweek 28,Sun,Home,W,4,0,Osasuna,72,1010,39,165,552,298,36,1009,11,17,64.7,19,10,831,53,Match Report
2022-03-20,21:00 (01:30),Matchweek 29,Sun,Away,W,4,0,Real Madrid,60,802,60,223,420,165,31,802,10,13,76.9,14,4,635,34,Match Report
2022-04-03,21:00 (00:30),Matchweek 30,Sun,Home,W,1,0,Sevilla,55,700,47,136,332,233,39,700,13,17,76.5,12,10,514,32,Match Report
2022-04-10,21:00 (00:30),Matchweek 31,Sun,Away,W,3,2,Levante,63,760,52,172,402,192,27,760,10,12,83.3,11,10,572,26,Match Report
2022-04-18,21:00 (00:30),Matchweek 32,Mon,Home,L,0,1,Cádiz,74,843,40,136,447,266,34,843,22,29,75.9,16,13,632,53,Match Report
2022-04-21,21:30 (01:00),Matchweek 33,Thu,Away,W,1,0,Real Sociedad,45,620,86,228,238,159,21,620,6,16,37.5,19,9,372,26,Match Report
2022-04-24,21:00 (00:30),Matchweek 21,Sun,Home,L,0,1,Rayo Vallecano,70,786,36,218,375,196,34,786,18,27,66.7,17,11,566,45,Match Report
2022-05-01,21:00 (00:30),Matchweek 34,Sun,Home,W,2,1,Mallorca,70,793,31,139,431,230,35,793,14,16,87.5,12,2,607,30,Match Report
2022-05-07,21:00 (00:30),Matchweek 35,Sat,Away,W,2,1,Betis,57,638,50,169,309,165,27,638,13,18,72.2,13,8,452,32,Match Report
2022-05-10,21:30 (01:00),Matchweek 36,Tue,Home,W,3,1,Celta Vigo,54,683,58,195,343,151,26,683,12,21,57.1,13,11,501,38,Match Report
2022-05-15,19:30 (23:00),Matchweek 37,Sun,Away,D,0,0,Getafe,71,969,43,160,697,115,15,969,12,22,54.5,15,6,812,38,Match Report
2022-05-22,22:00 (01:30),Matchweek 38,Sun,Home,L,0,2,Villarreal,69,811,41,107,404,303,33,811,5,10,50,17,10,636,39,Match Report
